sample_number,ID,sample_ID_simplified,sample_ID_extended,class
Sample_0760,18BL197,K2EFBP-C1,K2EFBP-C1,Breeding line
Sample_0768,18BL198,K2EFBP-C1,K2EFBP-C1,Breeding line
Sample_0779,18BL199,K2EFBP-C1,K2EFBP-C1,Breeding line
Sample_0878,18BL303,K2EFBP-C1,K2EFBP-C1,Breeding line
Sample_0652,18BL377,KPVN-C4,KPVN-C4,Breeding line
Sample_0664,18BL378,KPVN-C4,KPVN-C4,Breeding line
Sample_0676,18BL379,KPVN-C4,KPVN-C4,Breeding line
Sample_0688,18BL380,KPVN-C4,KPVN-C4,Breeding line
Sample_0687,18BL372,KSVN-C4,KSVN-C4,Breeding line
Sample_0698,18BL373,KSVN-C4,KSVN-C4,Breeding line
Sample_0709,18BL374,KSVN-C4,KSVN-C4,Breeding line
Sample_0720,18BL375,KSVN-C4,KSVN-C4,Breeding line
Sample_0731,18BL376,KSVN-C4,KSVN-C4,Breeding line
Sample_1051,Latifolia,Latifolia,Latifolia,Natural stand
Sample_0991,18NS571,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1000,18NS572,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1009,18NS573,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1017,18NS574,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_0992,18NS575,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1001,18NS576,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1010,18NS577,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1018,18NS578,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1025,18NS579,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_1032,18NS580,Mud Hen Lake,Mud Hen Lake,Natural stand
Sample_0045,18NS001,Necktie River,Necktie River,Natural stand
Sample_0057,18NS002,Necktie River,Necktie River,Natural stand
Sample_0069,18NS003,Necktie River,Necktie River,Natural stand
Sample_0081,18NS004,Necktie River,Necktie River,Natural stand
Sample_0001,18NS005,Necktie River,Necktie River,Natural stand
Sample_0012,18NS006,Necktie River,Necktie River,Natural stand
Sample_0023,18NS007,Necktie River,Necktie River,Natural stand
Sample_0034,18NS008,Necktie River,Necktie River,Natural stand
Sample_0046,18NS009,Necktie River,Necktie River,Natural stand
Sample_0058,18NS010,Necktie River,Necktie River,Natural stand
Sample_0070,18NS011,Necktie River,Necktie River,Natural stand
Sample_0082,18NS012,Necktie River,Necktie River,Natural stand
Sample_0002,18NS013,Necktie River,Necktie River,Natural stand
Sample_0013,18NS014,Necktie River,Necktie River,Natural stand
Sample_0024,18NS015,Necktie River,Necktie River,Natural stand
Sample_0035,18NS016,Necktie River,Necktie River,Natural stand
Sample_0047,18NS017,Necktie River,Necktie River,Natural stand
Sample_0059,18NS018,Necktie River,Necktie River,Natural stand
Sample_0071,18NS019,Necktie River,Necktie River,Natural stand
Sample_0083,18NS020,Necktie River,Necktie River,Natural stand
Sample_0003,18NS021,Necktie River,Necktie River,Natural stand
Sample_0014,18NS022,Necktie River,Necktie River,Natural stand
Sample_0025,18NS023,Necktie River,Necktie River,Natural stand
Sample_0036,18NS024,Necktie River,Necktie River,Natural stand
Sample_0048,18NS025,Necktie River,Necktie River,Natural stand
Sample_0060,18NS026,Necktie River,Necktie River,Natural stand
Sample_0072,18NS027,Necktie River,Necktie River,Natural stand
Sample_0084,18NS028,Necktie River,Necktie River,Natural stand
Sample_0004,18NS029,Necktie River,Necktie River,Natural stand
Sample_0015,18NS030,Necktie River,Necktie River,Natural stand
Sample_0026,18NS031,Necktie River,Necktie River,Natural stand
Sample_0037,18NS032,Necktie River,Necktie River,Natural stand
